married,hourly_wage,years_in_education,years_in_employment,num_dependents,gender,race
1,3.24,12,2,3,female,white
0,3,11,0,2,male,white
1,6,8,28,0,male,white
1,5.3,12,2,1,male,white
1,8.75,16,8,0,male,white
0,11.25,18,7,0,male,white
0,5,12,3,0,female,white
0,3.6,12,4,2,female,white
1,18.18,17,21,0,male,white
0,6.25,16,2,0,female,white
0,8.13,13,0,0,female,white
1,8.77,12,0,2,male,white
0,5.5,12,3,0,male,white
1,22.2,12,15,1,male,white
1,17.33,16,0,1,male,white
1,7.5,12,0,0,female,white
0,10.63,13,10,0,female,
1,3.6,12,0,3,female,white
1,4.5,12,6,0,female,white
0,6.88,12,4,0,female,white
1,8.48,12,13,3,male,white
0,6.33,16,9,0,female,white
0,0.53,12,1,0,female,white
0,6,11,8,0,female,nonwhite
1,9.56,16,3,1,male,nonwhite
1,7.78,16,10,1,male,white
1,12.5,16,0,0,male,white
1,12.5,15,0,2,male,
1,3.25,8,1,2,female,white
1,13,14,5,2,male,white
0,4.5,14,5,2,female,white
0,9.68,13,16,0,female,white
0,5,12,3,0,female,white
0,,12,0,0,female,white
1,4.27,16,4,1,female,nonwhite
1,6.15,12,6,1,female,nonwhite
1,3.51,4,15,5,male,white
1,3,14,3,0,female,white
0,6.25,12,0,0,female,white
1,7.81,12,0,0,female,white
1,10,12,5,4,female,nonwhite
1,4.5,14,,1,female,white
1,4,11,12,0,female,white
0,6.38,13,4,0,female,white
1,13.7,15,13,2,male,white
0,1.67,10,0,1,male,white
1,2.93,12,2,1,female,white
0,3.65,14,2,0,male,white
1,2.9,12,1,2,female,white
0,1.63,12,0,2,female,white
0,8.6,16,2,0,female,white
1,5,12,5,1,male,white
1,6,12,7,0,,white
0,2.5,12,0,2,male,white
0,3.25,15,0,1,male,white
0,3.4,16,1,1,female,white
0,10,8,0,0,male,nonwhite
0,21.63,18,8,0,female,white
0,4.38,16,0,0,male,white
0,,13,20,0,female,white
0,12.39,14,5,0,male,white
0,6.25,10,8,0,male,white
0,3.71,10,,4,female,nonwhite
0,7.78,14,3,0,male,white
1,19.98,14,23,2,male,white
1,6.25,16,4,3,female,nonwhite
1,10,12,3,3,male,white
1,5.71,16,5,1,male,white
0,2,12,2,4,female,white
0,5.71,16,0,0,female,white
1,13.08,17,2,3,male,nonwhite
1,4.91,12,8,2,male,white
1,2.91,12,34,2,female,white
1,3.75,12,0,0,female,white
1,11.9,13,19,2,male,white
1,4,12,0,1,female,white
0,3.1,12,1,1,female,white
1,8.45,12,13,4,male,white
1,7.14,18,0,2,male,white
1,4.5,9,5,4,male,white
0,4.65,16,1,0,male,white
0,2.9,10,0,1,female,white
0,6.67,12,5,0,male,white
0,3.5,12,2,1,female,nonwhite
1,3.26,12,3,1,female,white
1,3.25,12,0,1,female,white
0,8,12,4,1,female,white
1,9.85,8,24,2,male,nonwhite
1,7.5,12,7,1,male,white
1,5.91,12,6,2,male,white
1,11.76,14,39,0,male,white
0,3,12,0,2,female,white
0,4.81,12,0,0,female,white
0,6.5,12,1,0,female,white
1,4,9,1,1,female,white
0,3.5,13,0,1,male,white
1,13.16,12,22,0,male,white
1,4.25,14,2,2,male,white
0,3.5,12,0,0,male,white
0,5.13,15,,,female,white
1,3.75,12,0,3,female,white
1,4.5,12,12,0,female,white
0,7.63,12,4,0,female,white
1,15,14,7,1,male,nonwhite
1,6.85,15,3,2,female,white
1,13.33,12,11,2,male,white
0,6.67,12,10,0,male,white
0,2.53,12,0,0,female,white
1,9.8,17,0,0,male,white
1,3.37,11,12,0,male,white
1,24.98,,25,0,male,white
1,5.4,12,3,0,male,white
1,6.11,14,0,2,male,white
1,4.2,14,16,0,female,white
0,3.75,10,0,0,male,white
1,3.5,14,0,0,female,white
0,3.64,12,2,0,male,white
1,3.8,15,1,1,male,white
1,3,8,12,3,female,white
1,5,16,1,0,female,white
1,4.63,14,0,2,female,white
0,3,15,0,0,male,white
0,3.2,12,0,1,female,white
1,3.91,18,3,2,male,white
1,6.43,16,3,2,female,white
1,5.48,10,3,0,female,white
0,1.5,8,30,0,male,white
0,2.9,10,2,2,female,white
1,5,11,1,0,male,white
1,8.92,18,3,0,male,white
0,5,15,0,0,male,white
1,3.52,12,1,0,male,white
0,2.9,11,0,1,female,white
1,4.5,12,0,3,male,white
0,2.25,12,0,2,female,
1,5,14,5,4,male,white
1,10,16,3,2,male,nonwhite
1,3.75,2,13,0,male,white
1,10,14,11,0,female,white
1,10.95,16,20,4,male,white
,7.9,12,0,0,male,white
0,4.72,12,1,0,female,white
1,5.84,13,0,1,female,white
